timestamp,confused,control,understanding
1745541215.264884,100,0,0
1745541226.400512,100,0,0
1745541235.056802,100,0,0
1745541258.263825,100,0,0
1745541267.523087,100,0,0
1745541277.525805,100,0,0
1745541288.266957,100,0,0
1745541298.266551,100,0,0
1745541308.269073,100,0,0
1745541503.935476,100,0,0
1745541514.268939,100,0,0
1745541524.275123,100,0,0
1745541534.271544,100,0,0
1745541544.270307,100,0,0
1745541653.359448,100,0,0
1745541664.27222,100,0,0
1745541802.656254,100,0,0
1745541810.274024,100,0,0
1745541820.273022,100,0,0
1745541829.848098,100,0,0
1745541839.8512452,100,0,0
1745541850.2714372,100,0,0
