timestamps,TP9,AF7,AF8,TP10,Right AUX
1744258514.821,-6.348,-32.715,57.129,-26.367,0.488
1744258514.825,36.133,-21.484,176.270,-11.230,-14.648
1744258514.829,-50.781,-40.039,-102.051,-53.711,-28.809
1744258514.833,-113.770,-45.410,-268.555,-57.129,33.203
1744258514.837,-39.551,-32.715,-24.902,-38.574,78.613
1744258514.841,41.504,-22.949,179.688,-19.043,3.418
1744258514.844,-22.949,-35.156,-21.973,-35.645,-87.891
1744258514.848,-111.816,-51.270,-282.227,-70.312,-121.582
1744258514.852,-60.059,-42.480,-128.418,-42.480,-48.340
1744258514.856,43.945,-16.113,194.824,5.859,-22.949
1744258514.860,25.391,-18.555,98.633,-7.324,-52.246
1744258514.864,-93.750,-45.898,-229.492,-50.293,-96.680
1744258514.868,-98.633,-43.457,-198.242,-51.270,-138.672
1744258514.872,18.066,-18.555,125.000,-9.277,64.941
1744258514.876,39.551,-23.926,140.137,-1.953,146.973
1744258514.880,-66.895,-43.945,-176.270,-41.504,-44.922
1744258514.884,-104.980,-41.504,-243.164,-56.641,-54.688
1744258514.887,-9.766,-24.902,59.570,-9.766,27.832
1744258514.891,42.969,-18.555,176.758,28.809,-20.020
1744258514.895,-51.270,-33.203,-85.938,-29.297,-98.145
1744258514.899,-117.676,-47.852,-267.578,-81.543,-79.590
1744258514.903,-37.109,-34.180,-27.832,-33.203,8.301
1744258514.907,40.527,-14.648,209.473,2.441,-9.277
1744258514.911,-14.648,-32.715,5.859,-36.133,-28.320
1744258514.915,-107.910,-50.781,-281.250,-63.965,5.859
1744258514.919,-68.848,-29.785,-147.949,-41.016,-42.480
1744258514.923,39.062,-6.836,166.504,1.953,12.695
1744258514.926,27.344,-22.949,81.055,-14.160,-1.465
1744258514.930,-83.496,-48.828,-247.070,-69.336,-76.172
1744258514.934,-106.445,-46.875,-226.562,-62.500,18.555
1744258514.938,5.371,-26.367,94.238,-0.488,87.402
1744258514.942,56.152,-10.254,161.621,-0.977,93.262
1744258514.946,-51.758,-27.832,-142.090,-45.410,8.301
1744258514.950,-103.516,-30.273,-240.723,-50.293,-43.457
1744258514.954,-0.977,-7.324,62.500,-1.465,27.832
1744258514.958,50.293,-11.230,187.012,23.926,20.996
1744258514.962,-31.738,-27.832,-72.754,-29.297,-44.434
1744258514.966,-102.051,-35.156,-261.230,-74.219,-91.309
1744258514.969,-45.898,-26.855,-65.918,-32.227,-1.465
1744258514.973,46.387,-17.090,187.500,16.113,-8.789
1744258514.977,6.348,-30.273,35.156,-17.578,-168.457
1744258514.981,-95.215,-36.621,-243.164,-67.383,-98.633
1744258514.985,-70.801,-34.668,-155.762,-52.734,14.648
1744258514.989,37.109,-38.574,157.715,-6.836,57.617
1744258514.993,41.504,-29.297,128.418,-20.508,74.707
1744258514.997,-78.613,-29.785,-180.176,-66.895,-10.254
1744258515.001,-94.727,-32.715,-199.707,-52.734,13.672
1744258515.005,20.508,-17.578,110.352,-7.812,60.059
1744258515.009,45.898,-17.090,172.363,-5.859,-5.859
1744258515.012,-63.965,-41.992,-139.648,-52.246,-41.504
1744258515.016,-117.188,-43.945,-261.230,-70.312,-26.367
1744258515.020,-28.320,-23.438,17.090,-19.531,11.719
1744258515.024,49.316,-16.113,197.266,-1.953,-23.926
1744258515.028,-14.160,-31.738,-34.668,-48.340,-91.309
1744258515.032,-111.816,-45.410,-269.531,-93.262,-62.988
1744258515.036,-52.734,-29.785,-80.078,-56.152,65.430
1744258515.040,63.477,-10.742,200.195,12.695,55.664
1744258515.044,20.020,-22.461,79.590,-9.277,-48.340
